#target name         accession query name                    accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- ----------------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2828     2780      -    no    1 0.73   0.0   56.2     3e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
NZ_QXGR01000017.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7198     7148      -    no    1 0.78   0.2   48.4   4.9e-05 !   Simplicispira lacusdiani strain CPCC 100842 Scaffold17, whole genome shotgun sequence
NC_015677.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1201952  1202001      +    no    1 0.84   4.2   48.3   4.9e-05 !   Ramlibacter tataouinensis TTB310, complete sequence
NKIK01000021.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    56523    56579      +    no    1 0.67   0.0   48.3     5e-05 !   Burkholderiales bacterium PBB3 NODE_431, whole genome shotgun sequence
QFNF01000040.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     4132     4183      +    no    1 0.77   0.3   48.3   5.2e-05 !   Sphingomonas hengshuiensis isolate S2_018_000_R3_110 S2_018_000_R3_scaffold_509, whole genome shotgun sequence
NZ_CP021111.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  4000467  4000519      +    no    1 0.70   0.0   48.3   5.2e-05 !   Bordetella genomosp. 13 strain AU7206 chromosome, complete genome
NC_020548.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   497928   497876      -    no    1 0.64   0.0   48.2   5.4e-05 !   Azoarcus sp. KH32C plasmid pAZKH, complete sequence
JAHIKK010000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5245     5295      +    no    1 0.45   0.0   48.1   5.5e-05 !   MAG: Candidatus Omnitrophica bacterium isolate KR13_N1.mb.50 KR13_N1.mb.50_k141_3175, whole genome shotgun sequence
NZ_NQVN01000004.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    18715    18663      -    no    1 0.72   0.2   48.1   5.6e-05 !   Pleomorphomonas carboxyditropha strain SVCO-16 NODE_4_length_277903_cov_23.0678, whole genome shotgun sequence
NZ_KB900701.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  8173359  8173310      -    no    1 0.70   0.0   48.1   5.6e-05 !   Bradyrhizobium elkanii USDA 76 BraelDRAFT_scaffold1.1, whole genome shotgun sequence
NZ_QBTZ01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   349164   349214      +    no    1 0.78   0.6   48.1   5.7e-05 !   Acidovorax sp. 107 Ga0213547_11, whole genome shotgun sequence
VHCZ01000137.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    13465    13511      +    no    1 0.68   0.0   48.1   5.7e-05 !   Verrucomicrobia bacterium isolate M_DeepCast_65m_m2_001 M_DeepCast_65m_m2_001_Ga0194120_10006431, whole genome shotgun sequence
PMCS01000028.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    44049    44003      -    no    1 0.49   0.0   48.1   5.7e-05 !   Candidatus Omnitrophica bacterium isolate fen_1318 73.20120700_E3M.124_contig_53289, whole genome shotgun sequence
QKMS01000025.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    24913    24963      +    no    1 0.67   0.0   48.1   5.7e-05 !   UNVERIFIED_CONTAM: Acidovorax sp. OV235 Ga0215733_125, whole genome shotgun sequence
NZ_CP030051.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  5078371  5078322      -    no    1 0.70   0.0   48.1   5.8e-05 !   Bradyrhizobium guangdongense strain CCBAU 51649 chromosome, complete genome
NZ_BMDI01000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   201241   201191      -    no    1 0.53   0.0   48.0     6e-05 !   Oxalicibacterium faecigallinarum strain CCM 2767 sequence03, whole genome shotgun sequence
NZ_VSSR01000037.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    73956    73907      -    no    1 0.68   0.0   48.0     6e-05 !   Bradyrhizobium cytisi strain CTAW11 CTAW11_S1_R1__contig_38, whole genome shotgun sequence
NZ_CP067102.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  5201009  5200960      -    no    1 0.68   0.0   48.0     6e-05 !   Bradyrhizobium diazoefficiens strain 36_1 chromosome, complete genome
NZ_AXAY01000011.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    54598    54647      +    no    1 0.68   0.0   48.0     6e-05 !   Bradyrhizobium sp. WSM3983 YUADRAFT_scaffold_10.11_C, whole genome shotgun sequence
NZ_VSSS01000126.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     6613     6564      -    no    1 0.68   0.0   48.0   6.2e-05 !   Bradyrhizobium rifense strain CTAW71 CTAW71_S1_R1__contig_127, whole genome shotgun sequence
NZ_PRDL01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2635312  2635260      -    no    1 0.64   0.0   48.0   6.3e-05 !   Cellvibrio sp. Ka43 ctg1, whole genome shotgun sequence
JAEUHX010000088.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7418     7465      +    no    1 0.71   0.0   47.9   6.4e-05 !   Planctomycetes bacterium isolate new MAG-28 k141_2443015, whole genome shotgun sequence
JAFGKX010000141.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7006     6956      -    no    1 0.51   0.0   47.9   6.5e-05 !   Candidatus Omnitrophica bacterium isolate Zod_Metabat.364 k87_13354849, whole genome shotgun sequence
DMMY01000015.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    52552    52504      -    no    1 0.63   0.0   47.9   6.5e-05 !   TPA_asm: Elusimicrobia bacterium isolate UBA9628 contig_324, whole genome shotgun sequence
NZ_AKIY01000023.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3160     3110      -    no    1 0.67   0.0   47.9   6.5e-05 !   Bradyrhizobium sp. YR681 PMI42_contig_157.157, whole genome shotgun sequence
CADEDM010000139.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    11257    11302      +    no    1 0.70   0.0   47.9   6.6e-05 !   uncultured Acidobacteria bacterium isolate Acidobacteria sp. RBC084 genome assembly, contig: MAG084_139, whole genome shotgun sequence
JAFLDI010000456.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      441      392      -    no    1 0.72   0.0   47.9   6.6e-05 !   Burkholderiales bacterium isolate UWPOB_VITRI1 gnl_X_POHOPOFA_456, whole genome shotgun sequence
NZ_JAFCJM010000018.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   117096   117145      +    no    1 0.66   0.0   47.9   6.6e-05 !   Bradyrhizobium liaoningense strain SZCCT0420 NODE_18, whole genome shotgun sequence
NZ_JAFCLP010000014.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   113954   113905      -    no    1 0.66   0.0   47.9   6.6e-05 !   Bradyrhizobium iriomotense strain SZCCT0007 NODE_14, whole genome shotgun sequence
NZ_CP022222.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  7072508  7072557      +    no    1 0.66   0.0   47.9   6.6e-05 !   Bradyrhizobium sp. CCBAU 051011 chromosome, complete genome
NZ_JAAOLC030000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3237822  3237871      +    no    1 0.66   0.0   47.9   6.6e-05 !   Bradyrhizobium sp. 1S5 Bradyrhizobium_sp_1S5_Contig1, whole genome shotgun sequence
NZ_JAGGJN010000008.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   271105   271154      +    no    1 0.70   0.0   47.9   6.7e-05 !   Bradyrhizobium sp. OAS710 Ga0395965_08, whole genome shotgun sequence
CAIXGW010000036.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2254     2210      -    no    1 0.71   0.0   47.9   6.7e-05 !   uncultured Myxococcales bacterium isolate ErkenSummer_bin-0937 genome assembly, contig: bin-0937:036/404, whole genome shotgun sequence
JAAYCV010000034.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2690     2636      -    no    1 0.65   0.0   47.8   6.7e-05 !   Ramlibacter sp. isolate AS06rmzACSIP_5 38406_AS06, whole genome shotgun sequence
JAGPEO010000202.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      657      709      +    no    1 0.66   0.0   47.8   6.8e-05 !   Phycisphaerae bacterium isolate Gw_SlDig_bin_12 Gw_SlDig_22330_length_7154_cov_8.272663, whole genome shotgun sequence
NZ_VEHL01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1259861  1259810      -    no    1 0.73   0.0   47.8   6.9e-05 !   Bordetella genomosp. 13 strain DE0060 NODE_1_length_1281667_cov_11.847039, whole genome shotgun sequence
JACPOW010000063.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8591     8636      +    no    1 0.76   0.0   47.7   7.3e-05 !   Elusimicrobia bacterium isolate NC_groundwater_611_Pr5_B-0.1um_68_12 alan_book_18_scaffold_103985, whole genome shotgun sequence
NZ_BJNF01000067.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    19171    19122      -    no    1 0.68   0.0   47.7   7.3e-05 !   Nitrobacter winogradskyi strain NBRC 14297 sequence067, whole genome shotgun sequence
NZ_SSOD01000020.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    82178    82232      +    no    1 0.76   0.5   47.6   7.9e-05 !   Azoarcus rhizosphaerae strain CC-YHH848 contig20, whole genome shotgun sequence
JAAYXS010000174.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8624     8676      +    no    1 0.64   0.0   47.6     8e-05 !   Phycisphaerae bacterium isolate AS06rmzACSIP_178 77464_AS06, whole genome shotgun sequence
NZ_JAACJE010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2526873  2526923      +    no    1 0.75   0.0   47.5   8.2e-05 !   Acidovorax sp. 210-6 XA01_DEHP_1_000000F_arrow, whole genome shotgun sequence
NZ_WJBU01000011.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   157422   157372      -    no    1 0.73   0.0   47.5   8.3e-05 !   Caenimonas koreensis DSM 17982 strain EMB320 Scaffold9_1, whole genome shotgun sequence
NC_010170.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2537255  2537202      -    no    1 0.69   0.0   47.5   8.3e-05 !   Bordetella petrii, complete sequence
VGKM01000168.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1029      984      -    no    1 0.54   0.0   47.5   8.3e-05 !   Candidatus Omnitrophica bacterium isolate K_DeepCast_150m_m1_084 K_DeepCast_150m_m1_084_Ga0194126_10086055, whole genome shotgun sequence
NZ_SLXN01000007.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   170395   170443      +    no    1 0.65   0.0   47.5   8.5e-05 !   Sphingomonas sp. BK235 Ga0307674_107, whole genome shotgun sequence
JACRMN010000012.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   949964   949912      -    no    1 0.74   0.0   47.5   8.5e-05 !   Deltaproteobacteria bacterium isolate NC_groundwater_1908_Pr3_S2p5_74_37 SR2-18-S2p5_coassembly_scaffold_47894, whole genome shotgun sequence
JAGPKU010000032.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8524     8570      +    no    1 0.66   0.0   47.5   8.5e-05 !   Syntrophobacterales bacterium isolate Gw_SlDig_bin_8 Gw_SlDig_3553_length_23258_cov_48.071463, whole genome shotgun sequence
PLWQ01000010.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    70268    70317      +    no    1 0.66   0.0   47.5   8.6e-05 !   Fibrobacteres bacterium isolate fen_1185 73.20120800_E1D.40_contig_2594, whole genome shotgun sequence
SCMQ01000018.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    39632    39579      -    no    1 0.78   0.2   47.4   8.8e-05 !   Comamonadaceae bacterium 2FH NODE_18_length_89047_cov_49.345638, whole genome shotgun sequence
NZ_FOVU01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   839388   839339      -    no    1 0.72   0.0   47.4   8.9e-05 !   Bradyrhizobium sp. Ghvi, whole genome shotgun sequence
NZ_CP022222.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  5587436  5587384      -    no    1 0.72   0.0   47.4     9e-05 !   Bradyrhizobium sp. CCBAU 051011 chromosome, complete genome
NZ_JAGQDF010000012.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   109774   109721      -    no    1 0.74   0.0   47.4     9e-05 !   Ideonella sp. 4Y16 NODE_12_length_203104_cov_136.617307, whole genome shotgun sequence
JAFGQR010000130.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    19412    19363      -    no    1 0.70   0.0   47.4   9.1e-05 !   Verrucomicrobia bacterium isolate Zod_Metabat.779 k87_8930361, whole genome shotgun sequence
MGVE01000007.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   104475   104430      -    no    1 0.67   0.0   47.4   9.1e-05 !   Elusimicrobia bacterium RIFOXYA2_FULL_47_53 rifoxya2_full_scaffold_21, whole genome shotgun sequence
NZ_CP058349.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3414462  3414407      -    no    1 0.62   0.0   47.4   9.2e-05 !   Pseudomonas sp. ABC1 chromosome, complete genome
JAFGIS010000664.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    16990    16944      -    no    1 0.70   0.0   47.4   9.3e-05 !   Polyangiaceae bacterium isolate Zod_Metabat.23 k87_14801343, whole genome shotgun sequence
NZ_QJUI01000017.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    31426    31372      -    no    1 0.60   0.0   47.3   9.4e-05 !   Pseudomonas daroniae strain P9A NODE_17_length_123923_cov_17.382710, whole genome shotgun sequence
JAEUJW010000029.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    14356    14403      +    no    1 0.54   0.0   47.3   9.6e-05 !   Myxococcales bacterium isolate new MAG-79 k141_3537669, whole genome shotgun sequence
DCOU01000044.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     4474     4427      -    no    1 0.46   0.0   47.3   9.7e-05 !   TPA_asm: Candidatus Omnitrophica bacterium UBA1562 UBA1562_contig_24437, whole genome shotgun sequence
NZ_CVJQ01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2168177  2168129      -    no    1 0.69   0.0   47.3   9.8e-05 !   Phenylobacterium immobile (ATCC 35973) strain (strain E), whole genome shotgun sequence
NZ_JACIAY010000009.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   112828   112879      +    no    1 0.83   3.7   47.3   9.9e-05 !   Sphingomonas sp. BK580 Ga0365309_09, whole genome shotgun sequence
NZ_AEWG01000012.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7833     7785      -    no    1 0.78   0.1   47.2    0.0001 !   Rubrivivax benzoatilyticus JA2 = ATCC BAA-35 strain JA2 contig_12, whole genome shotgun sequence
JADGCU010000107.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1018     1066      +    no    1 0.59   0.0   47.2    0.0001 !   Candidatus Omnitrophica bacterium isolate nXXbin4 nXX_bin4_NODE_4145_length_3598_cov_3.739486, whole genome shotgun sequence
NZ_JHEP02000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   301585   301637      +    no    1 0.66   0.0   47.2    0.0001 !   Bordetella pseudohinzii strain 8-296-03 SAMN02263900_NODE_1.ctg_1509204, whole genome shotgun sequence
NZ_CP055930.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3923199  3923251      +    no    1 0.66   0.0   47.2    0.0001 !   Enterobacter sp. RHBSTW-00175 chromosome
NZ_JACYFT010000002.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   872045   872094      +    no    1 0.66   0.0   47.2    0.0001 !   Limnohabitans sp. JUR4 contig2, whole genome shotgun sequence
JADHVT010000009.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3421     3471      +    no    1 0.75   0.1   47.1   0.00011 !   Acidovorax sp. isolate BS750m-G8 BS-750m-C257, whole genome shotgun sequence
JADJPQ010000009.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   253432   253481      +    no    1 0.70   0.0   47.1   0.00011 !   Planctomycetes bacterium isolate Fred_18-Q3-R57-64_BATAC.530 tig00007322-10-4181700, whole genome shotgun sequence
JAFGIS010000664.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     4465     4419      -    no    1 0.72   0.0   47.1   0.00011 !   Polyangiaceae bacterium isolate Zod_Metabat.23 k87_14801343, whole genome shotgun sequence
WOZK01000007.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3160     3210      +    no    1 0.53   0.0   47.1   0.00011 !   Candidatus Omnitrophica bacterium isolate WOFB22 NODE_163_length_62509_cov_57.278557, whole genome shotgun sequence
NZ_CP033966.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1459022  1459074      +    no    1 0.70   0.0   47.1   0.00011 !   Pigmentiphaga sp. H8 chromosome, complete genome
NZ_JAAGBB010000005.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   146896   146950      +    no    1 0.69   0.0   47.1   0.00011 !   Roseomonas hellenica strain LMG 31523 contig00005, whole genome shotgun sequence
NZ_SZVI01000010.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   106540   106486      -    no    1 0.62   0.0   47.1   0.00011 !   Rhodoferax sp. BLA1 NODE_8_length_346672_cov_13.928869, whole genome shotgun sequence
NZ_VFNT01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   622375   622425      +    no    1 0.73   0.1   47.1   0.00011 !   Nocardioides sp. SLBN-35 strain NO-1 Ga0314632_11, whole genome shotgun sequence
