#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_JACHOS010000005.1 -         nhaA-I               RF03057    cm        1       55   205852   205908      +    no    1 0.75   0.2   58.5   1.5e-06 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence
NZ_CP018477.1        -         nhaA-I               RF03057    cm        1       55   402541   402491      -    no    1 0.61   0.0   50.5   0.00013 !   Thermogutta terrifontis strain R1 chromosome, complete genome
NZ_AONQ01000050.1    -         nhaA-I               RF03057    cm        1       55     8005     8055      +    no    1 0.76   0.1   50.4   0.00014 !   Magnetospirillum caucaseum strain SO-1 contig00050, whole genome shotgun sequence
NZ_KQ130436.1        -         nhaA-I               RF03057    cm        1       55   459536   459481      -    no    1 0.68   0.0   50.4   0.00014 !   Sphingobium czechense LL01 25410_scaffold_03, whole genome shotgun sequence
NZ_CP044114.1        -         nhaA-I               RF03057    cm        1       55   227325   227268      -    no    1 0.66   0.0   50.4   0.00014 !   Roseomonas mucosa strain FDAARGOS_658 chromosome 1, complete sequence
NZ_BPQL01000186.1    -         nhaA-I               RF03057    cm        1       55      822      762      -    no    1 0.72   0.0   50.3   0.00015 !   Methylobacterium goesingense strain DSM 21331 entry186, whole genome shotgun sequence
NZ_LAJE02000173.1    -         nhaA-I               RF03057    cm        1       55    28329    28382      +    no    1 0.69   0.0   50.3   0.00015 !   Devosia insulae DS-56 contig254, whole genome shotgun sequence
NZ_JACIDK010000002.1 -         nhaA-I               RF03057    cm        1       55   187288   187341      +    no    1 0.69   0.6   50.2   0.00016 !   Phenylobacterium haematophilum strain DSM 21793 Ga0373229_02, whole genome shotgun sequence
NC_007406.1          -         nhaA-I               RF03057    cm        1       55  3087889  3087835      -    no    1 0.67   0.0   50.1   0.00017 !   Nitrobacter winogradskyi Nb-255, complete sequence
NZ_JAKREU010000001.1 -         nhaA-I               RF03057    cm        1       55   425777   425722      -    no    1 0.68   0.0   50.1   0.00017 !   Sphingomonas panni strain DSM 15761 NODE_1, whole genome shotgun sequence
NZ_CP040709.1        -         nhaA-I               RF03057    cm        1       55  3963293  3963342      +    no    1 0.70   0.0   50.0   0.00017 !   Inhella inkyongensis strain IMCC1713 chromosome, complete genome
NZ_VUYU01000002.1    -         nhaA-I               RF03057    cm        1       55   487980   488030      +    no    1 0.71   0.0   50.0   0.00018 !   Massilia rubra strain CCM 8692 NODE_2_length_537552_cov_6.196386, whole genome shotgun sequence
NZ_QQAV01000010.1    -         nhaA-I               RF03057    cm        1       55   159004   158950      -    no    1 0.76   0.3   50.0   0.00018 !   Pseudacidovorax intermedius strain DSM 21352 Ga0244541_110, whole genome shotgun sequence
NZ_FOVE01000009.1    -         nhaA-I               RF03057    cm        1       55    26437    26493      +    no    1 0.60   0.0   49.9   0.00018 !   Formivibrio citricus strain DSM 6150, whole genome shotgun sequence
NZ_CP011971.1        -         nhaA-I               RF03057    cm        1       55   239957   239902      -    no    1 0.68   0.0   49.9   0.00018 !   Steroidobacter denitrificans strain DSM 18526 chromosome, complete genome
NZ_VFAH01000012.1    -         nhaA-I               RF03057    cm        1       55   121975   121921      -    no    1 0.64   0.0   49.9   0.00019 !   Noviherbaspirillum aerium strain 122213-3 Scaffold12, whole genome shotgun sequence
NZ_JALJCK010000030.1 -         nhaA-I               RF03057    cm        1       55     6990     7046      +    no    1 0.67   0.0   49.9   0.00019 !   Shinella yambaruensis strain DSM 18801 NODE_30_length_15640_cov_156.171239, whole genome shotgun sequence
NZ_SNZR01000004.1    -         nhaA-I               RF03057    cm        1       55     1674     1726      +    no    1 0.75   1.0   49.8    0.0002 !   Enterovirga rhinocerotis strain DSM 25903 Ga0310539_113, whole genome shotgun sequence
NZ_JACXXO010000005.1 -         nhaA-I               RF03057    cm        1       55    26711    26771      +    no    1 0.61   0.0   49.7    0.0002 !   Pseudomonas iridis strain CCUG 67011 NODE_5_length_308778_cov_317.492135, whole genome shotgun sequence
NZ_KI912268.1        -         nhaA-I               RF03057    cm        1       55   922568   922616      +    no    1 0.71   0.0   49.7   0.00021 !   Holophaga foetida DSM 6591 HolfoDRAFT_HFA.1, whole genome shotgun sequence
NZ_CP048630.1        -         nhaA-I               RF03057    cm        1       55   915218   915272      +    no    1 0.60   0.0   49.7   0.00021 !   Ancylobacter pratisalsi strain DSM 102029 chromosome, complete genome
NZ_QXGR01000017.1    -         nhaA-I               RF03057    cm        1       55     7201     7148      -    no    1 0.80   0.8   49.6   0.00021 !   Simplicispira lacusdiani strain CPCC 100842 Scaffold17, whole genome shotgun sequence
NZ_CP058554.1        -         nhaA-I               RF03057    cm        1       55  1797988  1797933      -    no    1 0.64   0.0   49.6   0.00022 !   Comamonas piscis strain BIGb0172 chromosome
NZ_CM001513.1        -         nhaA-I               RF03057    cm        1       55  3805591  3805653      +    no    1 0.60   0.0   49.6   0.00022 !   Pseudomonas lactis strain SS101 chromosome, whole genome shotgun sequence
NZ_CP027756.1        -         nhaA-I               RF03057    cm        1       55  4038223  4038285      +    no    1 0.59   0.0   49.5   0.00023 !   Pseudomonas synxantha strain R6-28-08 chromosome, complete genome
NZ_JYLH01000012.1    -         nhaA-I               RF03057    cm        1       55    47741    47803      +    no    1 0.59   0.0   49.5   0.00023 !   Pseudomonas libanensis strain DSM 17149 12_226443_16.2116, whole genome shotgun sequence
NZ_JAHSTT010000007.1 -         nhaA-I               RF03057    cm        1       55   272721   272783      +    no    1 0.60   0.0   49.5   0.00024 !   Pseudomonas khavaziana strain SWRI124 7, whole genome shotgun sequence
NZ_FNCO01000001.1    -         nhaA-I               RF03057    cm        1       55   214456   214394      -    no    1 0.60   0.0   49.5   0.00024 !   Pseudomonas abietaniphila strain ATCC 700689, whole genome shotgun sequence
NZ_BPQM01000047.1    -         nhaA-I               RF03057    cm        1       55    47845    47790      -    no    1 0.70   0.0   49.4   0.00024 !   Methylobacterium gregans strain NBRC 103626 entry47, whole genome shotgun sequence
NZ_PDNU01000001.1    -         nhaA-I               RF03057    cm        1       55   199768   199823      +    no    1 0.73   0.1   49.4   0.00024 !   Roseomonas rhizosphaerae strain YW11 contig1, whole genome shotgun sequence
NC_017033.1          -         nhaA-I               RF03057    cm        1       55  1828829  1828884      +    no    1 0.71   0.0   49.4   0.00024 !   Frateuria aurantia DSM 6220, complete sequence
NZ_JAAGBB010000005.1 -         nhaA-I               RF03057    cm        1       55   146893   146951      +    no    1 0.71   0.0   49.4   0.00024 !   Roseomonas hellenica strain LMG 31523 contig00005, whole genome shotgun sequence
NZ_LXYT01000002.1    -         nhaA-I               RF03057    cm        1       55   306836   306889      +    no    1 0.59   0.0   49.4   0.00024 !   Bartonella apis strain PEB0149 NODE_2_len_568743_cov_90_4119_ID_3.7, whole genome shotgun sequence
NZ_SNZH01000002.1    -         nhaA-I               RF03057    cm        1       55    24883    24830      -    no    1 0.69   0.0   49.4   0.00024 !   Tahibacter aquaticus strain DSM 21667 Ga0244543_102, whole genome shotgun sequence
NZ_FOPM01000003.1    -         nhaA-I               RF03057    cm        1       55   262381   262436      +    no    1 0.77   0.3   49.4   0.00024 !   Methylobacterium gossipiicola strain Gh-105, whole genome shotgun sequence
NZ_CP072554.1        -         nhaA-I               RF03057    cm        1       55     4179     4129      -    no    1 0.49   0.0   49.3   0.00026 !   Acinetobacter lwoffii strain H7 plasmid pH7-11, complete sequence
NZ_NOIG01000012.1    -         nhaA-I               RF03057    cm        1       55   169586   169534      -    no    1 0.70   0.0   49.3   0.00026 !   Acidovorax kalamii strain KNDSW-TSA6 contig_12, whole genome shotgun sequence
NZ_CP079899.1        -         nhaA-I               RF03057    cm        1       55   325442   325392      -    no    1 0.51   0.0   49.2   0.00026 !   Acinetobacter septicus strain FDAARGOS_1401 plasmid unnamed, complete sequence
NZ_SSOC01000002.1    -         nhaA-I               RF03057    cm        1       55   484821   484878      +    no    1 0.67   0.0   49.2   0.00027 !   Azoarcus nasutitermitis strain CC-YHH838 contig02, whole genome shotgun sequence
NZ_JAFFZW010000002.1 -         nhaA-I               RF03057    cm        1       55   617122   617061      -    no    1 0.63   0.0   49.2   0.00028 !   Pseudomonas alliivorans strain 20GA0068 Pa20_1_NODE_2_length_993034_cov_74.828538, whole genome shotgun sequence
NZ_NBBJ01000001.1    -         nhaA-I               RF03057    cm        1       55  1488043  1487988      -    no    1 0.73   0.7   49.1   0.00028 !   Sphingomonas mucosissima strain DSM 17494 SPMU_contig000001, whole genome shotgun sequence
NZ_BPRF01000004.1    -         nhaA-I               RF03057    cm        1       55   312468   312413      -    no    1 0.80   1.8   49.1   0.00029 !   Methylorubrum thiocyanatum strain JCM 10893 entry4, whole genome shotgun sequence
NZ_BPRE01000004.1    -         nhaA-I               RF03057    cm        1       55    38229    38284      +    no    1 0.80   1.8   49.1   0.00029 !   Methylorubrum suomiense strain DSM 14458 entry4, whole genome shotgun sequence
NZ_BPRC01000032.1    -         nhaA-I               RF03057    cm        1       55     4825     4880      +    no    1 0.80   1.8   49.1   0.00029 !   Methylorubrum aminovorans strain NBRC 15686 entry32, whole genome shotgun sequence
NZ_BPQO01000002.1    -         nhaA-I               RF03057    cm        1       55   265811   265866      +    no    1 0.80   1.8   49.1   0.00029 !   Methylobacterium hispanicum strain DSM 16372 entry2, whole genome shotgun sequence
NZ_LABX01000146.1    -         nhaA-I               RF03057    cm        1       55    32282    32227      -    no    1 0.80   1.8   49.1   0.00029 !   Methylobacterium aquaticum strain DSM 16371 contig_146, whole genome shotgun sequence
NZ_LABY01000184.1    -         nhaA-I               RF03057    cm        1       55    60791    60736      -    no    1 0.80   1.8   49.1   0.00029 !   Methylobacterium variabile strain DSM 16961 contig_184, whole genome shotgun sequence
NZ_BPQQ01000009.1    -         nhaA-I               RF03057    cm        1       55    52131    52076      -    no    1 0.80   1.8   49.1   0.00029 !   Methylobacterium isbiliense strain DSM 17168 entry9, whole genome shotgun sequence
NZ_CABFVH010000003.1 -         nhaA-I               RF03057    cm        1       55    35444    35389      -    no    1 0.80   1.8   49.1   0.00029 !   Methylobacterium dankookense strain SW08-7, whole genome shotgun sequence
NZ_BJZU01000028.1    -         nhaA-I               RF03057    cm        1       55    83216    83161      -    no    1 0.80   1.8   49.1   0.00029 !   Methylobacterium oxalidis strain NBRC 107715 sequence028, whole genome shotgun sequence
NZ_JACWCU010000160.1 -         nhaA-I               RF03057    cm        1       55    22173    22228      +    no    1 0.80   1.8   49.1   0.00029 !   Methylobacterium ajmalii strain IIF1SW-B5 scaffold281_cov55942_read144, whole genome shotgun sequence
NZ_JACYXF010000006.1 -         nhaA-I               RF03057    cm        1       55    77832    77780      -    no    1 0.68   0.0   49.1   0.00029 !   Noviherbaspirillum malthae strain CC-AFH3 Scaffold6_1, whole genome shotgun sequence
NZ_BCTY01000003.1    -         nhaA-I               RF03057    cm        1       55    14567    14619      +    no    1 0.70   0.0   49.0    0.0003 !   Sphingomonas sanguinis NBRC 13937, whole genome shotgun sequence
NZ_QETA01000002.1    -         nhaA-I               RF03057    cm        1       55   335978   336033      +    no    1 0.70   0.0   49.0    0.0003 !   Corticimicrobacter populi strain 3d-2-2 Scaffold2, whole genome shotgun sequence
NZ_HE978635.1        -         nhaA-I               RF03057    cm        1       55   954563   954615      +    no    1 0.62   0.0   49.0    0.0003 !   Noviherbaspirillum massiliense JC206, whole genome shotgun sequence
NZ_CP022746.1        -         nhaA-I               RF03057    cm        1       55   530386   530445      +    no    1 0.63   0.0   49.0    0.0003 !   Sphingobium xenophagum strain C1 chromosome II, complete sequence
NZ_JAJNCT010000010.1 -         nhaA-I               RF03057    cm        1       55   344983   345038      +    no    1 0.66   0.0   49.0   0.00031 !   Comamonas koreensis strain KCTC 12005 platanus_K_17_124_10, whole genome shotgun sequence
NZ_JACMYH010000001.1 -         nhaA-I               RF03057    cm        1       55  1359265  1359204      -    no    1 0.68   0.0   49.0   0.00031 !   Pseudomonas baltica strain MBT-2 PS60_contig_1, whole genome shotgun sequence
NZ_LBNQ01000018.1    -         nhaA-I               RF03057    cm        1       55    40626    40681      +    no    1 0.61   0.0   49.0   0.00031 !   Lampropedia cohaerens strain CT6 469, whole genome shotgun sequence
NZ_CAJZAI010000011.1 -         nhaA-I               RF03057    cm        1       55    31874    31932      +    no    1 0.63   0.0   48.9   0.00032 !   Cupriavidus laharis strain LMG 23992 isolate LMG 23992, whole genome shotgun sequence
NZ_OOGT01000307.1    -         nhaA-I               RF03057    cm        1       55      310      259      -    no    1 0.46   0.0   48.8   0.00033 !   Acinetobacter stercoris strain KPC-SM-21, whole genome shotgun sequence
NZ_CAJFCM010000001.1 -         nhaA-I               RF03057    cm        1       55  1548722  1548660      -    no    1 0.57   0.0   48.8   0.00035 !   Pseudomonas paracarnis strain UBT403, whole genome shotgun sequence
NZ_PVLR01000019.1    -         nhaA-I               RF03057    cm        1       55    43574    43521      -    no    1 0.72   0.4   48.7   0.00035 !   Malikia spinosa strain 83 contig_19, whole genome shotgun sequence
NZ_VVIW01000028.1    -         nhaA-I               RF03057    cm        1       55    30944    30994      +    no    1 0.69   0.0   48.7   0.00036 !   Massilia aquatica strain CCM 8693 NODE_28_length_88578_cov_6.762705, whole genome shotgun sequence
NC_014972.1          -         nhaA-I               RF03057    cm        1       55  1589209  1589264      +    no    1 0.54   0.0   48.7   0.00036 !   Desulfobulbus propionicus DSM 2032, complete sequence
NZ_JAGSPJ010000004.1 -         nhaA-I               RF03057    cm        1       55   205445   205497      +    no    1 0.68   0.0   48.7   0.00037 !   Undibacterium fentianense strain FT137W NODE_4_length_503683_cov_59.677887, whole genome shotgun sequence
NZ_CP091088.1        -         nhaA-I               RF03057    cm        1       55  3418335  3418397      +    no    1 0.63   0.0   48.6   0.00037 !   Pseudomonas juntendi strain PP_2463 chromosome, complete genome
