#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_MZGT01000054.1    -         Sodium               RF03071    cm        1       55     4934     4990      +    no    1 0.37   0.0   66.8     1e-08 !   Clostridium chromiireducens strain DSM 23318 CLCHR_contig000054, whole genome shotgun sequence
NZ_FOJI01000002.1    -         Sodium               RF03071    cm        1       55   422535   422587      +    no    1 0.40   0.0   32.9       4.2 ?   [Clostridium] fimetarium strain DSM 9179, whole genome shotgun sequence
DCTP01000001.1       -         Sodium               RF03071    cm        1       55    18984    18934      -    no    1 0.49   0.0   32.9       4.2 ?   TPA_asm: Leptolinea sp. UBA1437 UBA1437_contig_34450, whole genome shotgun sequence
NZ_RHOG01000042.1    -         Sodium               RF03071    cm        1       55     4462     4505      +    no    1 0.45   0.0   32.9       4.3 ?   Lacticaseibacillus yichunensis strain 33-1 contig42, whole genome shotgun sequence
NZ_RHOX01000002.1    -         Sodium               RF03071    cm        1       55   138502   138459      -    no    1 0.45   0.0   32.9       4.3 ?   Lactobacillus bayanensis strain 54-5 contig2, whole genome shotgun sequence
NZ_RHNR01000042.1    -         Sodium               RF03071    cm        1       55    20705    20748      +    no    1 0.45   0.0   32.9       4.3 ?   Lactobacillus songhuajiangensis strain 7-19 contig42, whole genome shotgun sequence
NZ_BOLV01000003.1    -         Sodium               RF03071    cm        1       55   113293   113250      -    no    1 0.45   0.0   32.9       4.3 ?   Lacticaseibacillus sp. ZW152 contig3, whole genome shotgun sequence
NZ_JAFLRH010000015.1 -         Sodium               RF03071    cm        1       55    20321    20378      +    no    1 0.48   0.0   32.9       4.3 ?   Desulfitobacterium sp. PLL0 L1_ctg0006, whole genome shotgun sequence
NVTT01000029.1       -         Sodium               RF03071    cm        1       55    23007    23079      +    no    1 0.41   0.0   32.8       4.4 ?   Gammaproteobacteria bacterium isolate NORP108 Contig_source1382A_2867, whole genome shotgun sequence
NZ_FRAC01000009.1    -         Sodium               RF03071    cm        1       55   346252   346304      +    no    1 0.57   0.0   32.8       4.4 ?   Anaerocolumna jejuensis DSM 15929, whole genome shotgun sequence
DUPM01000034.1       -         Sodium               RF03071    cm        1       55     2786     2715      -    no    1 0.43   0.0   32.7       4.6 ?   MAG TPA_asm: Clostridiaceae bacterium isolate AS08sgBPME_309 62935_AS08, whole genome shotgun sequence
WRHI01000045.1       -         Sodium               RF03071    cm        1       55     5774     5823      +    no    1 0.66   0.0   32.7       4.6 ?   MAG: Peptococcaceae bacterium isolate Nt197P3bin107 Ga0082212_10002799, whole genome shotgun sequence
NZ_JQBM01000001.1    -         Sodium               RF03071    cm        1       55   352139   352097      -    no    1 0.47   0.0   32.5       5.3 ?   Weissella viridescens strain DSM 20410 Scaffold1, whole genome shotgun sequence
NZ_JAAEEB010000010.1 -         Sodium               RF03071    cm        1       55    56416    56366      -    no    1 0.41   0.0   32.4       5.4 ?   Lactobacillus melliventris strain ESL0393 Ga0227359_1010, whole genome shotgun sequence
WRIS01000002.1       -         Sodium               RF03071    cm        1       55   135460   135506      +    no    1 0.53   0.0   32.4       5.5 ?   Eggerthellaceae bacterium isolate Nt197P3bin53 Ga0082212_10000030, whole genome shotgun sequence
DXAP01000177.1       -         Sodium               RF03071    cm        1       55     5596     5644      +    no    1 0.43   0.0   32.4       5.5 ?   MAG TPA_asm: Candidatus Ligilactobacillus excrementavium isolate 2259 CHK96__C174764_L15564_SAMEA104467322, whole genome shotgun sequence
NZ_APCP01000043.1    -         Sodium               RF03071    cm        1       55     7644     7692      +    no    1 0.43   0.0   32.4       5.5 ?   Lactobacillus pobuzihii E100301 = KCTC 13174 strain E100301 contig_45, whole genome shotgun sequence
NZ_AZFI01000153.1    -         Sodium               RF03071    cm        1       55      425      473      +    no    1 0.43   0.0   32.4       5.5 ?   Lactobacillus acidipiscis DSM 15836 Scaffold153, whole genome shotgun sequence
NZ_SDGL01000002.1    -         Sodium               RF03071    cm        1       55   116110   116065      -    no    1 0.48   0.0   32.4       5.6 ?   Lactobacillus mulieris strain c10Ua161M c10Ua-161p_2, whole genome shotgun sequence
NZ_AZFS01000061.1    -         Sodium               RF03071    cm        1       55   231849   231801      -    no    1 0.53   0.0   32.3         6 ?   Lactobacillus hammesii DSM 16381 NODE_167, whole genome shotgun sequence
JAAYBI010000055.1    -         Sodium               RF03071    cm        1       55      133       58      -    no    1 0.46   0.0   32.2       6.2 ?   MAG: Clostridiaceae bacterium isolate AS06rmzACSIP_271 276632_AS06, whole genome shotgun sequence
NZ_JABEKX010000001.1 -         Sodium               RF03071    cm        1       55   287865   287821      -    no    1 0.56   0.0   32.2       6.4 ?   Lactobacillus sp. YH-lac23 contig1, whole genome shotgun sequence
JAAYOZ010000129.1    -         Sodium               RF03071    cm        1       55      551      601      +    no    1 0.47   0.0   32.2       6.4 ?   MAG: Clostridiales bacterium isolate AS22ysBPME_133 133021_AS22, whole genome shotgun sequence
DXGB01000067.1       -         Sodium               RF03071    cm        1       55    15409    15360      -    no    1 0.50   0.0   32.1       6.6 ?   MAG TPA_asm: Candidatus Ligilactobacillus excrementipullorum isolate CHK171-2193 CHK171__C74263_L16386_SAMEA104467485, whole genome shotgun sequence
WRFE01000026.1       -         Sodium               RF03071    cm        1       55     7010     7071      +    no    1 0.48   0.0   32.1       6.6 ?   Endomicrobia bacterium isolate Lab288P4bin38 Ga0123354_10002849, whole genome shotgun sequence
LADN01000004.1       -         Sodium               RF03071    cm        1       55    44339    44290      -    no    1 0.54   0.0   32.1       6.7 ?   Peptococcaceae bacterium BRH_c4a BRHa_1005148, whole genome shotgun sequence
NZ_CP027786.1        -         Sodium               RF03071    cm        1       55   457763   457810      +    no    1 0.44   0.0   32.1       6.8 ?   Tetragenococcus koreensis strain KCTC 3924 chromosome, complete genome
DBTU01000015.1       -         Sodium               RF03071    cm        1       55    52028    51978      -    no    1 0.39   0.0   31.9       7.3 ?   MAG TPA_asm: Lachnoclostridium sp. UBA1308 UBA1308_contig_3057, whole genome shotgun sequence
NZ_RHNZ01000007.1    -         Sodium               RF03071    cm        1       55    97793    97745      -    no    1 0.51   0.0   31.9       7.5 ?   Lactobacillus fuyuanensis strain 244-4 contig7, whole genome shotgun sequence
JAAZNU010000021.1    -         Sodium               RF03071    cm        1       55    85935    85981      +    no    1 0.62   0.0   31.8         8 ?   Veillonellaceae bacterium isolate AS27yjCOA_2 83083_AS27, whole genome shotgun sequence
DLFX01000188.1       -         Sodium               RF03071    cm        1       55     2422     2468      +    no    1 0.51   0.0   31.8       8.1 ?   TPA_asm: Firmicutes bacterium UBA7709 UBA7709_contig_26127, whole genome shotgun sequence
WQVC01000139.1       -         Sodium               RF03071    cm        1       55     2603     2551      -    no    1 0.45   0.0   31.8       8.2 ?   MAG: Defluviitaleaceae bacterium isolate Emb289P1bin119 Ga0123355_10104440, whole genome shotgun sequence
NZ_JAFBDN010000009.1 -         Sodium               RF03071    cm        1       55    14799    14848      +    no    1 0.38   0.0   31.7       8.2 ?   Weissella beninensis strain DSM 22752 Ga0454026_09, whole genome shotgun sequence
KB911077.1           -         Sodium               RF03071    cm        1       55      919      983      +    no    1 0.48   0.0   31.7       8.5 ?   Clostridium sporosphaeroides DSM 1294 strain VPI 4527 genomic scaffold G340DRAFT_scaffold00012.12, whole genome shotgun sequence
JABHBK010000049.1    -         Sodium               RF03071    cm        1       55    13726    13671      -    no    1 0.34   0.0   31.7       8.6 ?   MAG: Nitrospina sp. isolate SI036_bin78 k141_1291929, whole genome shotgun sequence
NZ_BLLH01000003.1    -         Sodium               RF03071    cm        1       55    95376    95331      -    no    1 0.52   0.0   31.6       9.1 ?   Lactococcus insecticola strain Hs20B0-1 sequence03, whole genome shotgun sequence
JAENYF010000027.1    -         Sodium               RF03071    cm        1       55    40115    40054      -    no    1 0.53   0.0   31.5       9.3 ?   MAG: Desulfallas geothermicus isolate B5_bin.4 B5_bin4_NODE_271_length_45542_cov_11.295359, whole genome shotgun sequence
CABJBA010000001.1    -         Sodium               RF03071    cm        1       55    20721    20654      -    no    1 0.37   0.1   31.5       9.4 ?   Clostridiaceae bacterium isolate MGYG-HGUT-00145 genome assembly, contig: .21673_4_80.1, whole genome shotgun sequence
DTPV01000062.1       -         Sodium               RF03071    cm        1       55      170      118      -    no    1 0.36   0.0   31.5       9.5 ?   TPA_asm: Ignavibacteria bacterium isolate SpSt-981 Ga0123519_10021303, whole genome shotgun sequence
NZ_RKLX01000003.1    -         Sodium               RF03071    cm        1       55    98167    98215      +    no    1 0.53   0.0   31.4        10 ?   Lactobacillus suantsaiihabitans strain BCRC 81129 Scaffold3_1, whole genome shotgun sequence
NZ_FRDN01000004.1    -         Sodium               RF03071    cm        1       55   641617   641564      -    no    1 0.41   0.0   31.3        10 ?   Desulfitobacterium chlororespirans DSM 11544, whole genome shotgun sequence
NZ_RHNW01000004.1    -         Sodium               RF03071    cm        1       55   102412   102460      +    no    1 0.55   0.0   31.3        11 ?   Lactobacillus mulengensis strain 112-3 contig4, whole genome shotgun sequence
NZ_BOLN01000001.1    -         Sodium               RF03071    cm        1       55    83888    83840      -    no    1 0.55   0.0   31.3        11 ?   Levilactobacillus sp. 13B17 contig1, whole genome shotgun sequence
NZ_FQXU01000016.1    -         Sodium               RF03071    cm        1       55    21812    21760      -    no    1 0.57   0.0   31.2        11 ?   Clostridium intestinale DSM 6191, whole genome shotgun sequence
CAIYVZ010000007.1    -         Sodium               RF03071    cm        1       55     5683     5641      -    no    1 0.63   0.0   31.1        12 ?   uncultured Acidobacteriia bacterium isolate Kiruna2_bin-3869 genome assembly, contig: bin-3869:007/212, whole genome shotgun sequence
DBTM01000083.1       -         Sodium               RF03071    cm        1       55     2690     2748      +    no    1 0.49   0.0   31.1        12 ?   MAG TPA_asm: Clostridiales bacterium UBA1316 UBA1316_contig_63858, whole genome shotgun sequence
DBRJ01000049.1       -         Sodium               RF03071    cm        1       55    49617    49569      -    no    1 0.47   0.0   31.1        12 ?   MAG TPA_asm: Pelotomaculum sp. UBA1371 UBA1371_contig_6686, whole genome shotgun sequence
NZ_NGKU01000001.1    -         Sodium               RF03071    cm        1       55  3001033  3000981      -    no    1 0.53   0.0   31.0        12 ?   Enterococcus sp. 8G7_MSG3316 scaffold00001, whole genome shotgun sequence
NZ_ATXL01000055.1    -         Sodium               RF03071    cm        1       55      429      481      +    no    1 0.53   0.0   31.0        12 ?   Bavariicoccus seileri WCC 4188 strain DSM 19936 H541DRAFT_scaffold00055.55_C, whole genome shotgun sequence
NZ_LHOX01000011.1    -         Sodium               RF03071    cm        1       55   323498   323446      -    no    1 0.53   0.0   31.0        12 ?   Enterococcus sp. RIT-PI-f contig_3, whole genome shotgun sequence
DIDF01000069.1       -         Sodium               RF03071    cm        1       55     2988     2940      -    no    1 0.47   0.0   31.0        13 ?   TPA_asm: Lactobacillaceae bacterium UBA5807 UBA5807_contig_1984, whole genome shotgun sequence
NZ_BJDZ01000070.1    -         Sodium               RF03071    cm        1       55      205      253      +    no    1 0.47   0.0   31.0        13 ?   Lactobacillus plajomi strain NBRC 107333 scaffold70, whole genome shotgun sequence
DBRO01000059.1       -         Sodium               RF03071    cm        1       55    25078    25147      +    no    1 0.43   0.0   31.0        13 ?   MAG TPA_asm: Ruminococcus sp. UBA1366 UBA1366_contig_3816, whole genome shotgun sequence
NZ_ATUU01000001.1    -         Sodium               RF03071    cm        1       55   333882   333840      -    no    1 0.49   0.0   30.9        13 ?   Weissella halotolerans DSM 20190 G414DRAFT_scaffold00001.1_C, whole genome shotgun sequence
NZ_SLUN01000005.1    -         Sodium               RF03071    cm        1       55   229854   229802      -    no    1 0.60   0.0   30.9        14 ?   Hydrogenispora ethanolica strain LX-B Ga0244694_1005, whole genome shotgun sequence
NZ_GL622241.1        -         Sodium               RF03071    cm        1       55  1980271  1980225      -    no    1 0.55   0.0   30.8        14 ?   Enterococcus italicus DSM 15952 SCAFFOLD1, whole genome shotgun sequence
NZ_SLUI01000001.1    -         Sodium               RF03071    cm        1       55   346747   346695      -    no    1 0.57   0.0   30.7        15 ?   Anaerospora hongkongensis strain DSM 15969 Ga0310510_101, whole genome shotgun sequence
JADJLN010000015.1    -         Sodium               RF03071    cm        1       55     5267     5318      +    no    1 0.37   0.0   30.7        15 ?   Saprospiraceae bacterium isolate EsbW_18-Q3-R4-48_BAT3C.148 tig00050692-10-179810, whole genome shotgun sequence
NZ_CP049740.1        -         Sodium               RF03071    cm        1       55  1121962  1122007      +    no    1 0.50   0.0   30.7        15 ?   Jeotgalibaca arthritidis strain CECT 9157 chromosome, complete genome
WRHA01000192.1       -         Sodium               RF03071    cm        1       55     1397     1478      +    no    1 0.49   0.0   30.7        15 ?   MAG: Defluviitaleaceae bacterium isolate Nt197P1bin7 JGI24703J35330_11744782, whole genome shotgun sequence
JAENWI010000269.1    -         Sodium               RF03071    cm        1       55     1242     1193      -    no    1 0.44   0.0   30.7        15 ?   MAG: Peptostreptococcaceae bacterium isolate 5_8_m_bin4 k141_440710_length_2229_cov_255.9004, whole genome shotgun sequence
JAENWH010000167.1    -         Sodium               RF03071    cm        1       55      715      764      +    no    1 0.44   0.0   30.7        15 ?   MAG: Peptostreptococcaceae bacterium isolate 5_8_m_bin17 k141_346335_length_5007_cov_518.9423, whole genome shotgun sequence
NZ_AMWJ02000001.1    -         Sodium               RF03071    cm        1       55  2357664  2357624      -    no    1 0.59   0.0   30.6        16 ?   Pseudomonas putida CSV86 tig0000001, whole genome shotgun sequence
NZ_RHOF01000091.1    -         Sodium               RF03071    cm        1       55     5379     5427      +    no    1 0.49   0.0   30.6        16 ?   Loigolactobacillus jiayinensis strain 257-1 contig91, whole genome shotgun sequence
NZ_AWTT01000029.1    -         Sodium               RF03071    cm        1       55    20372    20324      -    no    1 0.49   0.0   30.6        16 ?   Lactobacillus wasatchensis strain WDC04 contig00029, whole genome shotgun sequence
NZ_BJDM01000002.1    -         Sodium               RF03071    cm        1       55    75226    75274      +    no    1 0.49   0.0   30.6        16 ?   Paucilactobacillus kaifaensis strain 778-3 contig2, whole genome shotgun sequence
NZ_JAAVSC010000001.1 -         Sodium               RF03071    cm        1       55    80834    80882      +    no    1 0.55   0.0   30.6        16 ?   Lactobacillus sp. ZJLC28-8 Scaffold1, whole genome shotgun sequence
WRAY01000011.1       -         Sodium               RF03071    cm        1       55    24001    24060      +    no    1 0.33   0.0   30.6        16 ?   Firmicutes bacterium isolate Lab288P1bin55 Ga0131853_10000573, whole genome shotgun sequence
NZ_JQAZ01000003.1    -         Sodium               RF03071    cm        1       55   229257   229305      +    no    1 0.45   0.0   30.5        17 ?   Lactobacillus selangorensis strain DSM 13344 Scaffold3, whole genome shotgun sequence
DJJW01000074.1       -         Sodium               RF03071    cm        1       55     9538     9589      +    no    1 0.50   0.0   30.5        17 ?   MAG TPA_asm: Lachnoclostridium sp. UBA6558 UBA6558_contig_805, whole genome shotgun sequence
NZ_JNLE01000003.1    -         Sodium               RF03071    cm        1       55  2967552  2967603      +    no    1 0.50   0.0   30.5        17 ?   Clostridium sp. KNHs205 BR73DRAFT_scf7180000000014_quiver.3_C, whole genome shotgun sequence
DXAP01000148.1       -         Sodium               RF03071    cm        1       55     1721     1672      -    no    1 0.50   0.0   30.5        17 ?   MAG TPA_asm: Candidatus Ligilactobacillus excrementavium isolate 2259 CHK96__C145288_L22796_SAMEA104467322, whole genome shotgun sequence
NZ_FNHB01000001.1    -         Sodium               RF03071    cm        1       55  1132419  1132367      -    no    1 0.55   0.0   30.5        17 ?   Dendrosporobacter quercicolus strain DSM 1736, whole genome shotgun sequence
DTUJ01000232.1       -         Sodium               RF03071    cm        1       55     6997     6940      -    no    1 0.36   0.0   30.4        18 ?   TPA_asm: Candidatus Marinimicrobia bacterium isolate UWMA-0102 NODE_644_length_28968_cov_17.630581, whole genome shotgun sequence
NZ_NGJZ01000005.1    -         Sodium               RF03071    cm        1       55    84343    84386      +    no    1 0.57   0.0   30.4        18 ?   Vagococcus entomophilus strain DSM 24756 5, whole genome shotgun sequence
NZ_BBWU01000016.1    -         Sodium               RF03071    cm        1       55   115940   115983      +    no    1 0.70   0.0   30.3        18 ?   Sphingomonas changbaiensis NBRC 104936, whole genome shotgun sequence
NC_011830.1          -         Sodium               RF03071    cm        1       55  1711279  1711331      +    no    1 0.43   0.0   30.3        19 ?   Desulfitobacterium hafniense DCB-2, complete sequence
CACZUS010000048.1    -         Sodium               RF03071    cm        1       55     8883     8827      -    no    1 0.53   0.0   30.3        19 ?   uncultured Bacteroidales bacterium isolate RUG12969 genome assembly, contig: RUG12969_asm_48, whole genome shotgun sequence
WQYD01000003.1       -         Sodium               RF03071    cm        1       55    47161    47118      -    no    1 0.50   0.0   30.3        19 ?   Firmicutes bacterium isolate Emb289P3bin74 Ga0123356_10000145, whole genome shotgun sequence
NZ_AZFC01000015.1    -         Sodium               RF03071    cm        1       55   399271   399320      +    no    1 0.54   0.0   30.3        19 ?   Lactobacillus spicheri DSM 15429 NODE_22, whole genome shotgun sequence
QCFS01000018.1       -         Sodium               RF03071    cm        1       55    25077    25135      +    no    1 0.25   0.1   30.3        19 ?   Prochlorococcus sp. AG-363-M17 Ga0115812_118, whole genome shotgun sequence
NZ_MSSW01000073.1    -         Sodium               RF03071    cm        1       55    27330    27275      -    no    1 0.36   0.0   30.3        19 ?   Algoriphagus antarcticus strain DSM 15986 contig73, whole genome shotgun sequence
NZ_BOLP01000006.1    -         Sodium               RF03071    cm        1       55    43955    43907      -    no    1 0.57   0.0   30.2        20 ?   Levilactobacillus sp. 866-3 contig6, whole genome shotgun sequence
NZ_RHOO01000014.1    -         Sodium               RF03071    cm        1       55     4745     4790      +    no    1 0.52   0.0   30.2        20 ?   Lactobacillus hulinensis strain 8-1(1) contig14, whole genome shotgun sequence
NZ_AZDP01000034.1    -         Sodium               RF03071    cm        1       55    55341    55293      -    no    1 0.57   0.0   30.2        20 ?   Lactobacillus koreensis JCM 16448 NODE_61, whole genome shotgun sequence
JAESQS010000314.1    -         Sodium               RF03071    cm        1       55     7640     7688      +    no    1 0.39   0.0   30.1        21 ?   Kordiimonadaceae bacterium isolate NORP235 CoAssembly_3769389, whole genome shotgun sequence
JAFRJI010000027.1    -         Sodium               RF03071    cm        1       55    24749    24696      -    no    1 0.59   0.0   30.1        22 ?   Firmicutes bacterium isolate RGIG2522 Goat_Jejunum-4__c160733, whole genome shotgun sequence
JAAYBT010000137.1    -         Sodium               RF03071    cm        1       55     6968     7016      +    no    1 0.43   0.0   30.0        23 ?   MAG: Clostridiaceae bacterium isolate AS06rmzACSIP_356 208909_AS06, whole genome shotgun sequence
NZ_RHOA01000001.1    -         Sodium               RF03071    cm        1       55   274134   274182      +    no    1 0.53   0.0   30.0        23 ?   Lactobacillus tangyuanensis strain 137-3 contig1, whole genome shotgun sequence
FR889384.1           -         Sodium               RF03071    cm        1       55    15059    15113      +    no    1 0.27   0.1   29.9        24 ?   Firmicutes bacterium CAG:449 genomic scaffold, scf87, whole genome shotgun sequence
JAAVLZ010000009.1    -         Sodium               RF03071    cm        1       55    66822    66756      -    no    1 0.51   0.0   29.9        24 ?   Oscillospiraceae bacterium HV4-5-C5C HV4-5-C5C_S3_Assembly_contig_9, whole genome shotgun sequence
NZ_KQ034028.1        -         Sodium               RF03071    cm        1       55   670591   670640      +    no    1 0.46   0.0   29.8        25 ?   Lactobacillus mellifer strain Bin4 Bin4_scaffold1, whole genome shotgun sequence
NZ_JNLE01000005.1    -         Sodium               RF03071    cm        1       55   965163   965099      -    no    1 0.51   0.0   29.8        26 ?   Clostridium sp. KNHs205 BR73DRAFT_scf7180000000015_quiver.5_C, whole genome shotgun sequence
JAAFHW010000029.1    -         Sodium               RF03071    cm        1       55    10779    10726      -    no    1 0.31   0.0   29.7        27 ?   Flavobacteriia bacterium isolate bin36.maxbin.ball.185 WN_Flavobacteria_scaffold_29, whole genome shotgun sequence
LNDX01000027.1       -         Sodium               RF03071    cm        1       55    36194    36247      +    no    1 0.31   0.0   29.7        27 ?   Flavobacteriaceae bacterium Ga0077528 Ga0077528_124.1, whole genome shotgun sequence
NZ_RHNQ01000015.1    -         Sodium               RF03071    cm        1       55    39549    39500      -    no    1 0.44   0.0   29.7        27 ?   Loigolactobacillus backii strain JCM 18665 contig15, whole genome shotgun sequence
NZ_RHNP01000069.1    -         Sodium               RF03071    cm        1       55      148      197      +    no    1 0.44   0.0   29.7        27 ?   Lactobacillus iwatensis strain JCM 18838 contig69, whole genome shotgun sequence
CAAEZV010000010.1    -         Sodium               RF03071    cm        1       55    75557    75514      -    no    1 0.48   0.0   29.6        28 ?   TPA_asm: Opitutales bacterium, isolate HGM23550, WGS project CAAEZV010000000 data, contig: SRS020394_33_k99_7090, whole genome shotgun sequence
JAGYKM010000001.1    -         Sodium               RF03071    cm        1       55   161823   161866      +    no    1 0.48   0.0   29.6        28 ?   Alphaproteobacteria bacterium isolate M30B67 1, whole genome shotgun sequence
RFLO01000026.1       -         Sodium               RF03071    cm        1       55     5337     5387      +    no    1 0.43   0.0   29.6        28 ?   Candidatus Pacearchaeota archaeon isolate J156 k99_648791, whole genome shotgun sequence
CAJQLK010000063.1    -         Sodium               RF03071    cm        1       55     8300     8246      -    no    1 0.35   0.0   29.6        28 ?   uncultured Flavobacteriales bacterium isolate 0.2_20180522_Bin_27_sub_1 genome assembly, contig: c_000000012036, whole genome shotgun sequence
JAFYYG010000036.1    -         Sodium               RF03071    cm        1       55     9198     9260      +    no    1 0.27   0.0   29.6        29 ?   Muribaculaceae bacterium isolate RGIG7531 Water_buffalos_Omasum-1__c217048, whole genome shotgun sequence
JAFUIO010000006.1    -         Sodium               RF03071    cm        1       55     5992     6058      +    no    1 0.34   0.0   29.6        29 ?   Clostridia bacterium isolate RGIG4527 Roe_deer_Rectum-1__c864, whole genome shotgun sequence
NZ_JAAXLK010000025.1 -         Sodium               RF03071    cm        1       55    15144    15096      -    no    1 0.51   0.0   29.4        31 ?   Lactobacillus sp. ZJLC3-7 Scaffold25, whole genome shotgun sequence
CAJAVE010000394.1    -         Sodium               RF03071    cm        1       55    10610    10665      +    no    1 0.55   0.0   29.4        32 ?   uncultured beta proteobacterium isolate Loc090721-5m_bin-670 genome assembly, contig: bin-670:394/394, whole genome shotgun sequence
NZ_LIUQ01000006.1    -         Sodium               RF03071    cm        1       55   105725   105784      +    no    1 0.30   0.1   29.4        32 ?   Planktothricoides sp. SR001 contig_5, whole genome shotgun sequence
NZ_CP029608.1        -         Sodium               RF03071    cm        1       55  1117716  1117767      +    no    1 0.42   0.0   29.4        32 ?   Pseudomonas kribbensis strain 46-2 chromosome, complete genome
NZ_RHOB01000010.1    -         Sodium               RF03071    cm        1       55    95285    95237      -    no    1 0.59   0.0   29.4        33 ?   Levilactobacillus angrenensis strain M1530-1 contig10, whole genome shotgun sequence
NZ_FOTS01000016.1    -         Sodium               RF03071    cm        1       55    18571    18623      +    no    1 0.58   0.0   29.3        34 ?   Pelosinus propionicus DSM 13327, whole genome shotgun sequence
WRHI01000045.1       -         Sodium               RF03071    cm        1       55     5618     5568      -    no    1 0.61   0.0   29.2        37 ?   MAG: Peptococcaceae bacterium isolate Nt197P3bin107 Ga0082212_10002799, whole genome shotgun sequence
CACMDZ010000049.1    -         Sodium               RF03071    cm        1       55     1787     1716      -    no    1 0.36   0.0   29.2        37 ?   uncultured Pelagibacteraceae bacterium isolate AG-891-D20 genome assembly, contig: AG-891-D20_NODE_49, whole genome shotgun sequence
NZ_RHNO01000003.1    -         Sodium               RF03071    cm        1       55    51019    50971      -    no    1 0.59   0.0   29.1        38 ?   Levilactobacillus yonginensis strain JCM 18023 contig3, whole genome shotgun sequence
NZ_RHNY01000019.1    -         Sodium               RF03071    cm        1       55    14806    14854      +    no    1 0.59   0.0   29.1        38 ?   Levilactobacillus tongjiangensis strain 218-10 contig19, whole genome shotgun sequence
NZ_LXTQ01000011.1    -         Sodium               RF03071    cm        1       55   237996   238039      +    no    1 0.45   0.0   29.1        38 ?   Methylobacillus sp. MM3 Methylobacillus1348_2, whole genome shotgun sequence
NZ_BOLL01000003.1    -         Sodium               RF03071    cm        1       55    19308    19260      -    no    1 0.59   0.0   29.0        40 ?   Levilactobacillus sp. 115-7 contig3, whole genome shotgun sequence
NZ_AP014680.1        -         Sodium               RF03071    cm        1       55  1726072  1726120      +    no    1 0.53   0.0   29.0        40 ?   Lactobacillus hokkaidonensis JCM 18461 strain LOOC260 chromosome, complete genome
CACIXL010000007.1    -         Sodium               RF03071    cm        1       55     8718     8668      -    no    1 0.24   0.5   29.0        41 ?   uncultured Pelagibacteraceae bacterium isolate AG-439-M21 genome assembly, contig: AG-439-M21_NODE_7, whole genome shotgun sequence
DBGA01000022.1       -         Sodium               RF03071    cm        1       55     5080     5128      +    no    1 0.35   0.0   29.0        41 ?   MAG TPA_asm: Ruminococcaceae bacterium UBA866 UBA866_contig_454, whole genome shotgun sequence
JACQMA010000200.1    -         Sodium               RF03071    cm        1       55     2409     2471      +    no    1 0.44   0.0   29.0        42 ?   Deltaproteobacteria bacterium isolate NC_groundwater_1217_Ag_S-0.1um_54_19 S_p1_S3_coassembly_k141_2115785, whole genome shotgun sequence
WRIR01000005.1       -         Sodium               RF03071    cm        1       55    26027    25980      -    no    1 0.56   0.0   28.9        42 ?   Eggerthellaceae bacterium isolate Nt197P3bin52 Ga0082212_10000102, whole genome shotgun sequence
JAFLCB010000001.1    -         Sodium               RF03071    cm        1       55   114502   114563      +    no    1 0.45   0.0   28.9        42 ?   Deltaproteobacteria bacterium isolate UWPOB_DELTA2 gnl_X_IAIDCGAJ_1, whole genome shotgun sequence
NZ_MUBJ01000013.1    -         Sodium               RF03071    cm        1       55   111782   111728      -    no    1 0.24   0.2   28.9        43 ?   Xenorhabdus vietnamensis strain DSM 22392 Xvie_13, whole genome shotgun sequence
DJJW01000016.1       -         Sodium               RF03071    cm        1       55     3402     3338      -    no    1 0.52   0.0   28.9        43 ?   MAG TPA_asm: Lachnoclostridium sp. UBA6558 UBA6558_contig_832, whole genome shotgun sequence
LGFX01000020.1       -         Sodium               RF03071    cm        1       55      367      413      +    no    1 0.38   0.0   28.8        45 ?   Candidate division TA06 bacterium 32_111 MPI_scaffold_545, whole genome shotgun sequence
NZ_RHOC01000002.1    -         Sodium               RF03071    cm        1       55   225615   225663      +    no    1 0.51   0.0   28.8        45 ?   Lactobacillus huananensis strain 151-2B contig2, whole genome shotgun sequence
NZ_JQCA01000048.1    -         Sodium               RF03071    cm        1       55    44821    44773      -    no    1 0.51   0.0   28.8        45 ?   Levilactobacillus paucivorans strain DSM 22467 NODE_61, whole genome shotgun sequence
DTKB01000046.1       -         Sodium               RF03071    cm        1       55    15044    14992      -    no    1 0.34   0.0   28.8        45 ?   TPA_asm: Candidatus Aminicenantes bacterium isolate SpSt-846 Ga0123519_10008817, whole genome shotgun sequence
NZ_RHOD01000005.1    -         Sodium               RF03071    cm        1       55    32522    32571      +    no    1 0.52   0.0   28.8        45 ?   Levilactobacillus lindianensis strain 220-4 contig5, whole genome shotgun sequence
NZ_CP025839.1        -         Sodium               RF03071    cm        1       55  1880101  1880054      -    no    1 0.44   0.0   28.8        45 ?   Lactobacillus sakei strain DS4 chromosome, complete genome
NZ_AP017929.1        -         Sodium               RF03071    cm        1       55   752100   752147      +    no    1 0.44   0.0   28.8        45 ?   Lactobacillus sakei subsp. sakei DSM 20017 = JCM 1157 strain LT-13 chromosome, complete genome
NZ_BAMJ01000004.1    -         Sodium               RF03071    cm        1       55    53231    53278      +    no    1 0.44   0.0   28.8        45 ?   Lactobacillus fuchuensis DSM 14340 = JCM 11249, whole genome shotgun sequence
