#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         nhaA-I               RF03057    cm        1       55     2831     2779      -    no    1 0.75   0.1   62.7   4.5e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
NZ_SSMR01000026.1    -         nhaA-I               RF03057    cm        1       55    48120    48168      +    no    1 0.73   0.0   53.8   6.5e-05 !   Polyangium sp. SDU3-1 Scaffold26_1, whole genome shotgun sequence
JAFGRF010000193.1    -         nhaA-I               RF03057    cm        1       55       97       44      -    no    1 0.76   0.1   53.8   6.6e-05 !   Candidate division WOR-3 bacterium isolate Zod_Metabat.816 k87_4700761, whole genome shotgun sequence
NC_020548.1          -         nhaA-I               RF03057    cm        1       55   497931   497876      -    no    1 0.66   0.0   53.7   6.6e-05 !   Azoarcus sp. KH32C plasmid pAZKH, complete sequence
NZ_LMIB01000012.1    -         nhaA-I               RF03057    cm        1       55   897410   897466      +    no    1 0.68   0.0   53.7   6.7e-05 !   Sphingomonas sp. Root710 contig_2, whole genome shotgun sequence
DXBL01000286.1       -         nhaA-I               RF03057    cm        1       55     2320     2264      -    no    1 0.63   0.0   53.7   6.7e-05 !   MAG TPA_asm: Candidatus Pseudomonas excrementavium isolate CHK174-787 CHK174__C197319_L5399_SAMEA104467488, whole genome shotgun sequence
NCDQ01000112.1       -         nhaA-I               RF03057    cm        1       55     1840     1788      -    no    1 0.60   0.0   53.7   6.8e-05 !   Caulobacter vibrioides isolate 32-67-7 04302015_32_scaffold_3274, whole genome shotgun sequence
VGYW01000483.1       -         nhaA-I               RF03057    cm        1       55     5560     5506      -    no    1 0.71   0.0   53.7   6.8e-05 !   Planctomycetes bacterium isolate M_DeepCast_400m_m2_341 M_DeepCast_400m_m2_341_Ga0194112_10028577, whole genome shotgun sequence
DTKC01000469.1       -         nhaA-I               RF03057    cm        1       55    23094    23146      +    no    1 0.72   0.0   53.7     7e-05 !   TPA_asm: Verrucomicrobia subdivision 3 bacterium isolate SpSt-847 Ga0123519_10001845, whole genome shotgun sequence
JACQFP010000026.1    -         nhaA-I               RF03057    cm        1       55    90830    90778      -    no    1 0.74   0.0   53.7     7e-05 !   Verrucomicrobia bacterium isolate NC_groundwater_1050_Pr1_S-0.65um_58_16 Montesol18_Sp65_coassembly_scaffold_325527, whole genome shotgun sequence
JAGOGO010000006.1    -         nhaA-I               RF03057    cm        1       55     6771     6826      +    no    1 0.61   0.0   53.6     7e-05 !   Deltaproteobacteria bacterium isolate Go_SlDig_bin_103 Go_SlDig_1719_length_50794_cov_7.873231, whole genome shotgun sequence
VEQI01000105.1       -         nhaA-I               RF03057    cm        1       55     3660     3710      +    no    1 0.73   0.0   53.6   7.1e-05 !   MAG: Limnohabitans sp. isolate ZLKRG10 NODE_8170_length_9342_cov_3.292132, whole genome shotgun sequence
NZ_SGWV01000007.1    -         nhaA-I               RF03057    cm        1       55   519789   519844      +    no    1 0.79   1.4   53.6   7.3e-05 !   Leptothrix mobilis strain DSM 10617 Ga0310535_101, whole genome shotgun sequence
VGRA01000101.1       -         nhaA-I               RF03057    cm        1       55     4379     4429      +    no    1 0.80   0.8   53.5   7.6e-05 !   Deltaproteobacteria bacterium isolate K_Offshore_0m_m1_055 K_Offshore_0m_m1_055_Ga0194134_10009430, whole genome shotgun sequence
NZ_SJXD01000029.1    -         nhaA-I               RF03057    cm        1       55    84107    84162      +    no    1 0.70   0.0   53.5   7.6e-05 !   Roseococcus sp. SYP-B2431 NODE_7, whole genome shotgun sequence
JAGNHB010000037.1    -         nhaA-I               RF03057    cm        1       55    44012    43959      -    no    1 0.78   0.2   53.5   7.7e-05 !   Acidobacteria bacterium isolate Go_SlDig_bin_149 Go_SlDig_1374_length_56602_cov_22.848057, whole genome shotgun sequence
JADJBV010000001.1    -         nhaA-I               RF03057    cm        1       55   132420   132470      +    no    1 0.69   0.0   53.5   7.7e-05 !   Deltaproteobacteria bacterium isolate Aved_18-Q3-R54-62_BAT3C.540 tig00000023-10-69002250, whole genome shotgun sequence
JACQRQ010000068.1    -         nhaA-I               RF03057    cm        1       55     3302     3248      -    no    1 0.73   0.1   53.5   7.7e-05 !   Elusimicrobia bacterium isolate NC_groundwater_1363_Ag_S-0.2um_60_33 S_p2_S4_coassembly_k141_1051778, whole genome shotgun sequence
NZ_CP022372.1        -         nhaA-I               RF03057    cm        1       55  3903058  3903002      -    no    1 0.74   0.1   53.5   7.7e-05 !   Bosea sp. AS-1 chromosome, complete genome
JABLXY010000002.1    -         nhaA-I               RF03057    cm        1       55   261187   261133      -    no    1 0.69   0.0   53.5   7.7e-05 !   Syntrophaceae bacterium isolate Ch3 Scaffold3, whole genome shotgun sequence
NZ_PRDL01000001.1    -         nhaA-I               RF03057    cm        1       55  2635315  2635260      -    no    1 0.66   0.0   53.4   7.9e-05 !   Cellvibrio sp. Ka43 ctg1, whole genome shotgun sequence
MEKI01000018.1       -         nhaA-I               RF03057    cm        1       55     4302     4247      -    no    1 0.71   0.0   53.4   7.9e-05 !   Acidobacteria bacterium RBG_13_68_16 RBG_13_scaffold_1425, whole genome shotgun sequence
JACCSO010000686.1    -         nhaA-I               RF03057    cm        1       55     5679     5730      +    no    1 0.65   0.0   53.4     8e-05 !   Nannocystis sp. isolate MGR_bin50 SD2897-2912_k127_885246, whole genome shotgun sequence
NZ_CP054841.1        -         nhaA-I               RF03057    cm        1       55   520038   520090      +    no    1 0.79   1.3   53.4   8.2e-05 !   Acidovorax antarcticus strain 16-35-5 plasmid unnamed1, complete sequence
QZKH01000003.1       -         nhaA-I               RF03057    cm        1       55   515817   515768      -    no    1 0.50   0.0   53.3   8.3e-05 !   Candidatus Omnitrophica bacterium isolate SURF_18 Ga0104751_1000002, whole genome shotgun sequence
NZ_KE387203.1        -         nhaA-I               RF03057    cm        1       55   490695   490641      -    no    1 0.71   0.0   53.3   8.3e-05 !   Azohydromonas australica DSM 1124 H537DRAFT_scaffold00001.1, whole genome shotgun sequence
NZ_CVJQ01000001.1    -         nhaA-I               RF03057    cm        1       55  2505439  2505387      -    no    1 0.74   0.2   53.3   8.6e-05 !   Phenylobacterium immobile (ATCC 35973) strain (strain E), whole genome shotgun sequence
NZ_LMTS01000172.1    -         nhaA-I               RF03057    cm        1       55    86850    86800      -    no    1 0.69   0.0   53.3   8.7e-05 !   Variovorax sp. WDL1 contig_567, whole genome shotgun sequence
NZ_QJJJ01000008.1    -         nhaA-I               RF03057    cm        1       55    41445    41501      +    no    1 0.70   0.0   53.2   8.7e-05 !   Methylobacterium sp. B4 Ga0157232_108, whole genome shotgun sequence
NZ_QJTP01000022.1    -         nhaA-I               RF03057    cm        1       55    33182    33126      -    no    1 0.72   0.0   53.2   8.8e-05 !   Methylobacterium sp. GV094 Ga0189709_122, whole genome shotgun sequence
NZ_JACHLR010000005.1 -         nhaA-I               RF03057    cm        1       55   182497   182445      -    no    1 0.70   0.6   53.2   8.9e-05 !   Novosphingobium chloroacetimidivorans strain S00245 Ga0436340_05, whole genome shotgun sequence
JAGNLW010000001.1    -         nhaA-I               RF03057    cm        1       55   166435   166497      +    no    1 0.73   0.0   53.2     9e-05 !   Candidatus Aminicenantes bacterium isolate Go_SlDig_bin_238 Go_SlDig_2_length_1320124_cov_13.115983, whole genome shotgun sequence
WRPG01000014.1       -         nhaA-I               RF03057    cm        1       55    65743    65795      +    no    1 0.70   0.0   53.2     9e-05 !   Verrucomicrobia subdivision 3 bacterium isolate X3_MaxBin.016 scaffold_201, whole genome shotgun sequence
NZ_JACIFA010000001.1 -         nhaA-I               RF03057    cm        1       55   544726   544672      -    no    1 0.64   0.0   53.2   9.2e-05 !   Sphingomonas zeae strain DSM 100049 Ga0373351_01, whole genome shotgun sequence
JACQFP010000026.1    -         nhaA-I               RF03057    cm        1       55    79730    79783      +    no    1 0.65   0.0   53.2   9.2e-05 !   Verrucomicrobia bacterium isolate NC_groundwater_1050_Pr1_S-0.65um_58_16 Montesol18_Sp65_coassembly_scaffold_325527, whole genome shotgun sequence
NZ_FOOA01000002.1    -         nhaA-I               RF03057    cm        1       55   105242   105297      +    no    1 0.73   0.0   53.2   9.2e-05 !   Aureimonas phyllosphaerae strain L9-753,KACC 16231,DSM 25026, whole genome shotgun sequence
MHGF01000031.1       -         nhaA-I               RF03057    cm        1       55    15976    15921      -    no    1 0.54   0.0   53.1   9.4e-05 !   Omnitrophica WOR_2 bacterium GWF2_43_52 gwf2_scaffold_4157, whole genome shotgun sequence
NZ_QPIB01000012.1    -         nhaA-I               RF03057    cm        1       55   512124   512177      +    no    1 0.76   0.4   53.1   9.5e-05 !   Xenophilus sp. E41 scaffold12, whole genome shotgun sequence
JACRCW010000166.1    -         nhaA-I               RF03057    cm        1       55    37781    37727      -    no    1 0.67   0.0   53.1   9.5e-05 !   Deltaproteobacteria bacterium isolate NC_groundwater_1656_Pr3_B-0.1um_70_40 SR-2_scaffold_141_4149839, whole genome shotgun sequence
CAIMLX010000213.1    -         nhaA-I               RF03057    cm        1       55    30446    30497      +    no    1 0.77   0.2   53.1   9.5e-05 !   uncultured Rhizobiales bacterium isolate Loclat_bin-01400 genome assembly, contig: bin-01400:213/280, whole genome shotgun sequence
DNHS01000030.1       -         nhaA-I               RF03057    cm        1       55    23268    23212      -    no    1 0.53   0.0   53.1   9.6e-05 !   TPA_asm: Candidatus Omnitrophica bacterium isolate UBA10183 contig_25524, whole genome shotgun sequence
NZ_BDJB01000004.1    -         nhaA-I               RF03057    cm        1       55    34864    34812      -    no    1 0.70   0.1   53.1   9.7e-05 !   Sphingomonas sp. TZW2008, whole genome shotgun sequence
NC_021658.1          -         nhaA-I               RF03057    cm        1       55  5667011  5666953      -    no    1 0.78   1.3   53.1   9.7e-05 !   Sorangium cellulosum So0157-2, complete sequence
NZ_CP069811.1        -         nhaA-I               RF03057    cm        1       55  2605060  2605118      +    no    1 0.63   0.0   53.0   9.8e-05 !   Cupriavidus oxalaticus strain Ox1 chromosome 1, complete sequence
NZ_LMKL01000009.1    -         nhaA-I               RF03057    cm        1       55   137635   137575      -    no    1 0.80   3.2   53.0   9.9e-05 !   Sphingomonas sp. Leaf17 contig_7, whole genome shotgun sequence
JACRJX010000015.1    -         nhaA-I               RF03057    cm        1       55   418304   418253      -    no    1 0.65   0.0   53.0   9.9e-05 !   Verrucomicrobia bacterium isolate NC_groundwater_1840_Pr3_B-0.1um_61_25 SR-2_scaffold_141_829293, whole genome shotgun sequence
NZ_BBJS01000036.1    -         nhaA-I               RF03057    cm        1       55    98271    98216      -    no    1 0.59   0.0   53.0    0.0001 !   Sphingomonas paucimobilis NBRC 13935, whole genome shotgun sequence
RGQD01000465.1       -         nhaA-I               RF03057    cm        1       55     2174     2122      -    no    1 0.66   0.0   53.0    0.0001 !   Betaproteobacteria bacterium isolate WB8_3_330 contig_100_464, whole genome shotgun sequence
JAEUHX010000088.1    -         nhaA-I               RF03057    cm        1       55     7415     7466      +    no    1 0.73   0.0   53.0    0.0001 !   Planctomycetes bacterium isolate new MAG-28 k141_2443015, whole genome shotgun sequence
NZ_BBWK01000006.1    -         nhaA-I               RF03057    cm        1       55    92844    92788      -    no    1 0.75   1.0   53.0    0.0001 !   Aureimonas sp. AU4, whole genome shotgun sequence
NZ_JACIDH010000005.1 -         nhaA-I               RF03057    cm        1       55   153135   153186      +    no    1 0.75   0.1   53.0    0.0001 !   Sphingomonas pseudosanguinis strain DSM 19512 Ga0373225_05, whole genome shotgun sequence
CAIMWS010000481.1    -         nhaA-I               RF03057    cm        1       55     6602     6549      -    no    1 0.67   0.0   53.0    0.0001 !   uncultured Verrucomicrobia bacterium isolate LaPlata_bin-2736 genome assembly, contig: bin-2736:481/561, whole genome shotgun sequence
NZ_NWVC01000003.1    -         nhaA-I               RF03057    cm        1       55   229446   229391      -    no    1 0.70   0.0   52.9    0.0001 !   Sphingomonas adhaesiva strain DSM 7418 contig3, whole genome shotgun sequence
PMLC01000080.1       -         nhaA-I               RF03057    cm        1       55     6080     6025      -    no    1 0.71   0.0   52.9   0.00011 !   Acidobacteria bacterium isolate fen_297 73.20120600_E1D.18_contig_75380, whole genome shotgun sequence
NZ_VEDO01000025.1    -         nhaA-I               RF03057    cm        1       55    19695    19748      +    no    1 0.76   0.1   52.9   0.00011 !   Variovorax boronicumulans strain DE0202 NODE_25_length_80867_cov_32.022858, whole genome shotgun sequence
CP064972.1           -         nhaA-I               RF03057    cm        1       55   442647   442701      +    no    1 0.73   0.0   52.8   0.00011 !   Holophagales bacterium isolate EsbW_18-Q3-R4-48_BAT3C.4_cln chromosome, complete genome
VGXW01000050.1       -         nhaA-I               RF03057    cm        1       55      903      851      -    no    1 0.83   4.9   52.8   0.00011 !   Planctomycetes bacterium isolate K_DeepCast_100m_mx_218 K_DeepCast_100m_mx_218_Ga0194127_10003594, whole genome shotgun sequence
JAAYEC010000045.1    -         nhaA-I               RF03057    cm        1       55    20825    20879      +    no    1 0.67   0.0   52.8   0.00011 !   Deltaproteobacteria bacterium isolate AS06rmzACSIP_61 394715_AS06, whole genome shotgun sequence
NZ_SMZP01000001.1    -         nhaA-I               RF03057    cm        1       55   505565   505512      -    no    1 0.69   0.1   52.8   0.00011 !   Caulobacter sp. RHG1 Contig1, whole genome shotgun sequence
MGUX01000096.1       -         nhaA-I               RF03057    cm        1       55     2148     2094      -    no    1 0.64   0.0   52.8   0.00011 !   Elusimicrobia bacterium RIFCSPLOWO2_12_FULL_59_9 rifcsplowo2_12_scaffold_34428, whole genome shotgun sequence
NC_022247.1          -         nhaA-I               RF03057    cm        1       55  1191997  1192060      +    no    1 0.70   0.2   52.8   0.00011 !   Variovorax paradoxus B4 chromosome 1, complete sequence
NC_010162.1          -         nhaA-I               RF03057    cm        1       55  4580779  4580721      -    no    1 0.76   0.3   52.8   0.00011 !   Sorangium cellulosum So ce56, complete sequence
VHCZ01000137.1       -         nhaA-I               RF03057    cm        1       55    13462    13512      +    no    1 0.69   0.0   52.7   0.00012 !   Verrucomicrobia bacterium isolate M_DeepCast_65m_m2_001 M_DeepCast_65m_m2_001_Ga0194120_10006431, whole genome shotgun sequence
NZ_LMDI01000067.1    -         nhaA-I               RF03057    cm        1       55   120494   120438      -    no    1 0.67   0.0   52.7   0.00012 !   Rhizobacter sp. Root1221 contig_7, whole genome shotgun sequence
NZ_JACJUG010000056.1 -         nhaA-I               RF03057    cm        1       55     1599     1549      -    no    1 0.76   0.2   52.7   0.00012 !   Mitsuaria sp. WAJ17 NODE_56_length_11233_cov_35.015217, whole genome shotgun sequence
